epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6387,2.29824,1.82427,0.74989,4.55333,2.14183,4e-05,0.00065,3e-05,0,0.00177,0.02581,0.00112,0.00039,2.83505,1.72071,0.73924,4.44481,3.03617,2.142e-05,2.142e-05,2.142e-05
2,17.5725,2.00023,1.76823,0.7079,4.44462,1.89685,0.0133,0.05088,0.01479,0.00797,0.00169,0.02452,0.00105,0.00035,2.00007,1.52971,0.63457,4.13523,1.83985,4.94852e-05,4.94852e-05,4.94852e-05
3,21.0201,1.41574,1.41567,0.60137,4.1332,1.38704,0.02146,0.45706,0.08648,0.06435,0.00113,0.01032,0.00221,0.00034,1.59788,1.35208,0.49783,3.67643,1.49978,7.69849e-05,7.69849e-05,7.69849e-05
4,24.4793,1.38235,1.30899,0.50124,3.72862,1.31334,0.28279,0.40919,0.12464,0.08725,0.00537,0.01032,0.00351,0.00089,1.53399,1.29021,0.38113,3.08604,1.47137,0.000103919,0.000103919,0.000103919
5,27.8704,1.4007,1.14764,0.38779,3.04341,1.33371,0.30872,0.5376,0.1669,0.12096,0.00794,0.01613,0.00578,0.00164,1.41008,1.4552,0.31451,8.0269,1.39063,0.000130288,0.000130288,0.000130288
6,31.3064,1.3323,1.03527,0.31207,2.51769,1.25838,0.22296,0.77182,0.27131,0.19409,0.01766,0.03032,0.01553,0.00532,1.31805,1.27555,0.22266,11.9711,1.3489,0.000156091,0.000156091,0.000156091
7,34.8864,1.3943,1.09467,0.25822,2.04805,1.29469,0.24976,0.64273,0.30529,0.21566,0.03727,0.04065,0.03872,0.01658,1.33267,1.12506,0.15681,9.23578,1.3342,0.000181329,0.000181329,0.000181329
8,38.327,1.32735,0.94956,0.22497,1.76598,1.24036,0.29246,0.72957,0.41753,0.28612,0.03776,0.04323,0.03352,0.01755,1.35277,1.22236,0.13597,8.96351,1.33659,0.000206001,0.000206001,0.000206001
9,41.6154,1.27442,0.79991,0.20026,1.64225,1.20876,0.32249,0.72788,0.51472,0.36348,0.03864,0.05935,0.0466,0.02483,1.25626,1.1865,0.11103,8.33665,1.25121,0.000230108,0.000230108,0.000230108
10,44.9391,1.27716,0.81893,0.19813,1.54373,1.18025,0.39831,0.69841,0.52788,0.35447,0.06169,0.04884,0.05516,0.02821,1.32444,1.13971,0.11198,6.02416,1.28466,0.000253649,0.000253649,0.000253649
11,48.1776,1.19554,0.74978,0.18432,1.44669,1.17513,0.45399,0.68978,0.62168,0.46566,0.06123,0.0529,0.05861,0.03864,1.21578,0.93012,0.08734,4.38297,1.21804,0.000276625,0.000276625,0.000276625
12,51.4575,1.23368,0.82189,0.18247,1.36215,1.15959,0.56113,0.67275,0.66829,0.45804,0.05804,0.06065,0.05635,0.03853,1.26393,0.84995,0.07365,3.37709,1.23466,0.000299035,0.000299035,0.000299035
13,54.6627,1.19488,0.74281,0.15877,1.33548,1.12785,0.66068,0.69883,0.70999,0.47849,0.06903,0.05161,0.06378,0.04543,1.27908,0.85669,0.0615,2.42866,1.26264,0.00032088,0.00032088,0.00032088
14,58.0505,1.17086,0.74994,0.15547,1.2536,1.12611,0.71211,0.65437,0.71535,0.52144,0.06637,0.06749,0.06782,0.0491,1.2216,0.81083,0.06162,1.873,1.19938,0.00034216,0.00034216,0.00034216
15,61.4592,1.14044,0.62247,0.15202,1.18779,1.08013,0.74448,0.66644,0.7248,0.53842,0.06162,0.04972,0.05457,0.0398,1.1841,0.78145,0.0557,1.93041,1.18671,0.000362873,0.000362873,0.000362873
16,64.7793,1.12315,0.64314,0.13787,1.16337,1.07992,0.80719,0.65821,0.75537,0.5631,0.06789,0.05935,0.06514,0.04237,1.18547,0.80586,0.05896,1.59688,1.17647,0.000383022,0.000383022,0.000383022
17,68.0422,1.12283,0.57388,0.14388,1.09422,1.051,0.73754,0.72331,0.76095,0.57208,0.07105,0.06581,0.0702,0.05544,1.16221,0.69002,0.0634,1.61915,1.19305,0.000402605,0.000402605,0.000402605
18,71.3679,1.09268,0.59777,0.12962,1.06832,1.07357,0.74776,0.68965,0.74391,0.56253,0.0717,0.06258,0.0667,0.05005,1.15278,0.70535,0.06614,1.35568,1.19888,0.000421622,0.000421622,0.000421622
19,74.6069,1.08985,0.52858,0.14141,1.01518,1.06427,0.56152,0.53261,0.58336,0.42172,0.07404,0.05336,0.05797,0.0435,1.22746,0.64489,0.08883,1.8033,1.21365,0.000440074,0.000440074,0.000440074
20,77.7585,1.05793,0.50345,0.13143,1.00482,1.06947,0.75641,0.60891,0.70024,0.52835,0.05545,0.04979,0.04547,0.03486,1.15824,0.59647,0.06798,1.78789,1.19051,0.00045796,0.00045796,0.00045796
21,80.9164,1.05764,0.52055,0.12675,1.00562,1.07168,0.76556,0.6805,0.72611,0.53723,0.05928,0.05355,0.04778,0.03652,1.25343,0.77059,0.10168,1.531,1.23873,0.000475281,0.000475281,0.000475281
22,84.1785,1.0786,0.5184,0.12036,0.95162,1.03938,0.83663,0.65697,0.76131,0.54921,0.07261,0.05613,0.06792,0.05085,1.23222,0.69837,0.07814,1.33181,1.24445,0.000492037,0.000492037,0.000492037
23,87.3465,1.02869,0.49328,0.12687,0.91613,1.07564,0.82103,0.67051,0.72748,0.54566,0.07281,0.06387,0.06646,0.05137,1.20554,0.70544,0.07408,1.28624,1.22396,0.000508227,0.000508227,0.000508227
24,90.5666,1.01659,0.46258,0.11553,0.84829,1.04434,0.77993,0.70077,0.76292,0.58137,0.06883,0.06516,0.07129,0.05834,1.17583,0.58048,0.07865,1.23989,1.20378,0.000523851,0.000523851,0.000523851
25,93.7544,1.03965,0.42765,0.11456,0.87955,1.0392,0.77471,0.70389,0.76909,0.58419,0.0778,0.06774,0.07543,0.06487,1.17905,0.46713,0.06854,1.21077,1.20185,0.00053891,0.00053891,0.00053891
26,97.0044,1.03538,0.41741,0.12688,0.87721,1.0594,0.80107,0.66541,0.75928,0.57064,0.076,0.07419,0.07526,0.06255,1.19798,0.48917,0.06782,1.24708,1.19698,0.000537285,0.000537285,0.000537285
27,100.234,0.98124,0.36536,0.1128,0.82955,1.02424,0.70983,0.7065,0.75297,0.57147,0.07174,0.07206,0.07163,0.05836,1.12373,0.48895,0.05528,1.19768,1.16495,0.000530216,0.000530216,0.000530216
28,103.386,1.02713,0.41927,0.11976,0.88888,1.05707,0.74536,0.66429,0.75547,0.56208,0.07321,0.06903,0.07096,0.06009,1.14885,0.49417,0.0571,1.20728,1.16716,0.000523148,0.000523148,0.000523148
29,106.489,0.98536,0.33795,0.11147,0.83081,1.02253,0.79739,0.72231,0.78498,0.5955,0.07446,0.06583,0.07313,0.06275,1.15551,0.51653,0.05593,1.15446,1.17795,0.000516079,0.000516079,0.000516079
30,109.813,0.96794,0.27693,0.10494,0.78994,1.00085,0.79385,0.74121,0.79936,0.58116,0.08248,0.06839,0.0782,0.06775,1.19415,0.52573,0.0504,1.09618,1.17528,0.000509011,0.000509011,0.000509011
31,112.94,0.95048,0.35604,0.10165,0.79711,1.00765,0.75965,0.77136,0.80688,0.62196,0.08197,0.06454,0.07632,0.06656,1.11337,0.5153,0.04701,1.04488,1.14429,0.000501942,0.000501942,0.000501942
32,116.145,0.95693,0.34529,0.10539,0.79296,1.01511,0.76628,0.74545,0.79104,0.61139,0.07819,0.06968,0.07565,0.06608,1.08343,0.51988,0.0546,1.07675,1.14045,0.000494873,0.000494873,0.000494873
33,119.321,0.94393,0.34069,0.11319,0.76241,1.0068,0.80572,0.72882,0.76987,0.58496,0.07392,0.06584,0.07422,0.06463,1.10856,0.56643,0.06806,1.10043,1.15405,0.000487805,0.000487805,0.000487805
34,122.493,0.95167,0.29473,0.11206,0.72831,1.01051,0.83004,0.73104,0.78419,0.57982,0.06831,0.07419,0.07628,0.06682,1.16585,0.54645,0.06668,1.06172,1.1697,0.000480736,0.000480736,0.000480736
35,125.658,0.94212,0.31775,0.10731,0.74768,1.00083,0.82468,0.72363,0.79725,0.58622,0.08035,0.06581,0.07615,0.06526,1.16697,0.55797,0.06724,1.06567,1.16569,0.000473668,0.000473668,0.000473668
36,128.976,0.90065,0.30692,0.09567,0.67853,0.98077,0.76426,0.772,0.80721,0.61185,0.07742,0.06635,0.07304,0.05955,1.05956,0.50268,0.05457,1.04048,1.13128,0.000466599,0.000466599,0.000466599
37,132.114,0.93373,0.3299,0.11028,0.7349,1.00227,0.81138,0.7434,0.81506,0.6237,0.07734,0.07046,0.07499,0.06161,1.08516,0.47848,0.04927,0.99799,1.13624,0.00045953,0.00045953,0.00045953
38,135.282,0.90741,0.30109,0.09926,0.7079,1.00579,0.83016,0.73475,0.82524,0.6269,0.07701,0.07563,0.08006,0.06652,1.07781,0.46816,0.05059,0.98224,1.12696,0.000452462,0.000452462,0.000452462
39,138.625,0.88744,0.27194,0.10114,0.7041,0.98211,0.84409,0.78392,0.84754,0.65272,0.07543,0.07548,0.077,0.0661,1.03684,0.46723,0.04937,0.92439,1.11527,0.000445393,0.000445393,0.000445393
40,141.933,0.89225,0.31841,0.09601,0.67677,0.98785,0.84647,0.77437,0.8336,0.64175,0.07625,0.06516,0.07249,0.06484,1.01847,0.5145,0.05312,0.96272,1.11015,0.000438325,0.000438325,0.000438325
41,145.042,0.88799,0.26085,0.09454,0.65209,0.98499,0.8351,0.76407,0.82562,0.6422,0.07361,0.07377,0.07608,0.06725,1.06211,0.42317,0.04772,0.94796,1.11366,0.000431256,0.000431256,0.000431256
42,148.248,0.87238,0.23929,0.08976,0.6716,0.98108,0.81252,0.77742,0.82058,0.63087,0.08075,0.07307,0.08074,0.07132,1.00133,0.41367,0.04908,0.90651,1.09247,0.000424187,0.000424187,0.000424187
43,151.422,0.91163,0.24783,0.10376,0.66253,0.98244,0.80782,0.76936,0.81362,0.62527,0.07998,0.07477,0.081,0.07234,1.01346,0.39225,0.04738,0.91943,1.08663,0.000417119,0.000417119,0.000417119
44,154.602,0.92297,0.24078,0.09756,0.65286,0.97616,0.80471,0.77822,0.81471,0.62653,0.08162,0.07447,0.08234,0.0736,1.01122,0.39329,0.04741,0.91871,1.08454,0.00041005,0.00041005,0.00041005
45,157.82,0.88369,0.261,0.08744,0.66004,0.98,0.80573,0.77715,0.80997,0.6133,0.07819,0.08097,0.08254,0.07451,1.05096,0.37791,0.04589,0.91743,1.10747,0.000402982,0.000402982,0.000402982
46,160.988,0.86443,0.20272,0.08557,0.64088,0.96321,0.84818,0.75603,0.81353,0.62258,0.07984,0.07922,0.0824,0.07418,1.05356,0.38907,0.05071,0.92898,1.10761,0.000395913,0.000395913,0.000395913
47,164.092,0.87634,0.26519,0.10265,0.65126,0.98987,0.82068,0.77405,0.81409,0.61616,0.07925,0.07884,0.08304,0.07463,1.04961,0.38505,0.05292,0.92915,1.11407,0.000388844,0.000388844,0.000388844
48,167.36,0.83474,0.25301,0.09965,0.6265,0.96496,0.81811,0.78311,0.8271,0.62416,0.08118,0.07871,0.08368,0.07488,1.08521,0.40049,0.05807,0.94283,1.14914,0.000381776,0.000381776,0.000381776
49,170.634,0.83936,0.22553,0.07948,0.61181,0.94686,0.83711,0.77132,0.82268,0.61606,0.08301,0.07806,0.08338,0.0738,1.11668,0.40072,0.05786,0.9597,1.15606,0.000374707,0.000374707,0.000374707
50,173.809,0.86176,0.22599,0.08095,0.62277,0.95393,0.84955,0.74898,0.81118,0.61769,0.0799,0.08,0.08233,0.07445,1.10841,0.41729,0.05746,0.96077,1.13583,0.000367639,0.000367639,0.000367639
51,176.987,0.81698,0.17994,0.07735,0.60125,0.9463,0.85711,0.75342,0.83298,0.65222,0.08516,0.08,0.08253,0.07398,1.00789,0.43671,0.05412,0.88469,1.11876,0.00036057,0.00036057,0.00036057
52,180.253,0.81293,0.21426,0.08122,0.60484,0.96869,0.85781,0.75583,0.83387,0.64657,0.0873,0.07871,0.08252,0.07396,1.03407,0.41377,0.05669,0.88508,1.12802,0.000353501,0.000353501,0.000353501
53,183.364,0.8152,0.23181,0.07941,0.59624,0.96803,0.83318,0.76892,0.82065,0.63155,0.08419,0.08,0.08463,0.07524,1.03564,0.38838,0.06173,0.90862,1.1247,0.000346433,0.000346433,0.000346433
54,186.565,0.77247,0.16441,0.0843,0.58795,0.9685,0.85117,0.76831,0.82103,0.64473,0.07917,0.08,0.08264,0.0737,0.98604,0.38879,0.07326,0.93344,1.09457,0.000339364,0.000339364,0.000339364
55,189.714,0.82479,0.24308,0.08255,0.58619,0.97052,0.83141,0.77094,0.81156,0.62626,0.07568,0.0823,0.08381,0.07504,1.02517,0.39485,0.0708,0.96648,1.10346,0.000332296,0.000332296,0.000332296
56,192.992,0.79127,0.19497,0.08816,0.58894,0.95858,0.80074,0.76854,0.80424,0.61421,0.08002,0.07806,0.08392,0.07411,1.07725,0.40218,0.07076,0.97322,1.11331,0.000325227,0.000325227,0.000325227
57,196.257,0.80309,0.17935,0.08094,0.56682,0.95593,0.81605,0.74999,0.81799,0.62264,0.08352,0.07849,0.08415,0.07341,1.05788,0.42128,0.07524,0.96166,1.11035,0.000318158,0.000318158,0.000318158
58,199.478,0.80131,0.20088,0.07556,0.57569,0.93797,0.81778,0.73944,0.81857,0.63334,0.07868,0.07677,0.08235,0.07153,1.09417,0.41187,0.08341,0.96544,1.11644,0.00031109,0.00031109,0.00031109
59,202.634,0.77023,0.19053,0.07021,0.55326,0.94699,0.82547,0.7482,0.8193,0.62171,0.07434,0.08,0.08194,0.07256,1.12417,0.40211,0.08732,0.97255,1.12338,0.000304021,0.000304021,0.000304021
60,206.001,0.77753,0.19746,0.08397,0.56164,0.9462,0.85259,0.75988,0.80671,0.61192,0.07438,0.07866,0.08072,0.07233,1.12548,0.38414,0.0811,1.00467,1.12363,0.000296953,0.000296953,0.000296953
61,209.108,0.80749,0.1982,0.06449,0.57207,0.94914,0.85315,0.75207,0.80149,0.60962,0.0798,0.07548,0.08122,0.07376,1.09573,0.37991,0.0805,0.99505,1.12621,0.000289884,0.000289884,0.000289884
62,212.276,0.77707,0.16831,0.07648,0.55572,0.9369,0.85252,0.7513,0.79506,0.61256,0.0757,0.07935,0.08113,0.07365,1.1107,0.36879,0.07592,1.01175,1.13151,0.000282815,0.000282815,0.000282815
63,215.522,0.76011,0.16493,0.07766,0.55206,0.95558,0.8517,0.76254,0.80979,0.60796,0.08024,0.07871,0.08282,0.07607,1.11048,0.34954,0.07014,0.99451,1.14458,0.000275747,0.000275747,0.000275747
64,218.682,0.75095,0.19244,0.06496,0.5316,0.92713,0.81609,0.78757,0.8163,0.6206,0.0829,0.07548,0.08381,0.07741,1.08535,0.34861,0.0625,0.97368,1.1337,0.000268678,0.000268678,0.000268678
65,221.883,0.76844,0.16651,0.06449,0.5641,0.96608,0.80663,0.79182,0.81033,0.62611,0.0826,0.07657,0.08474,0.07757,1.06599,0.35563,0.05702,0.95296,1.12653,0.00026161,0.00026161,0.00026161
66,225.074,0.72982,0.15541,0.06631,0.51408,0.93056,0.83223,0.77959,0.81983,0.63607,0.07738,0.07948,0.08286,0.07588,0.98284,0.36101,0.05321,0.90929,1.10628,0.000254541,0.000254541,0.000254541
67,228.215,0.73857,0.19474,0.06772,0.5205,0.91212,0.82809,0.78861,0.81881,0.63658,0.07716,0.07871,0.08121,0.07413,1.00017,0.36653,0.05026,0.90534,1.11231,0.000247472,0.000247472,0.000247472
68,231.37,0.70982,0.20282,0.07406,0.51739,0.93337,0.83499,0.78597,0.82013,0.63416,0.07814,0.07839,0.08128,0.07368,1.01055,0.36291,0.04938,0.91978,1.11282,0.000240404,0.000240404,0.000240404
