epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,234.585,0.72093,0.15151,0.07068,0.50985,0.92098,0.83366,0.77367,0.8194,0.63773,0.08287,0.07613,0.08117,0.07475,0.99614,0.36206,0.05889,0.94909,1.10604,0.000233335,0.000233335,0.000233335
70,237.66,0.7443,0.17992,0.06658,0.51984,0.93072,0.83115,0.76352,0.81607,0.63917,0.08091,0.07871,0.08204,0.07565,0.98621,0.3533,0.05885,0.95559,1.10457,0.000226267,0.000226267,0.000226267
71,240.801,0.7085,0.15244,0.05905,0.51367,0.92852,0.80899,0.78163,0.81818,0.63744,0.08341,0.07785,0.08173,0.07543,0.96246,0.36147,0.05643,0.94338,1.10232,0.000219198,0.000219198,0.000219198
72,244.15,0.71719,0.15825,0.06333,0.5237,0.93794,0.85779,0.74749,0.81471,0.64019,0.08267,0.07806,0.08273,0.07544,0.97185,0.3491,0.06179,0.90626,1.08524,0.000212129,0.000212129,0.000212129
73,247.915,0.76328,0.17949,0.06528,0.51753,0.93896,0.86214,0.74721,0.80837,0.63283,0.08492,0.07548,0.08284,0.0754,0.96966,0.35382,0.06693,0.90371,1.08822,0.000205061,0.000205061,0.000205061
74,251.365,0.73345,0.16893,0.06016,0.51022,0.91281,0.85256,0.7493,0.80788,0.63479,0.07747,0.07806,0.08259,0.07456,0.96799,0.35199,0.06886,0.91549,1.10235,0.000197992,0.000197992,0.000197992
75,254.682,0.69168,0.12503,0.05701,0.49855,0.91498,0.84309,0.78306,0.8164,0.64187,0.08412,0.07871,0.08414,0.0771,0.97749,0.37248,0.06481,0.89664,1.1024,0.000190924,0.000190924,0.000190924
76,257.784,0.70204,0.13989,0.06105,0.49478,0.93746,0.85347,0.78566,0.82456,0.64182,0.08354,0.07935,0.08465,0.07725,0.97422,0.38147,0.0599,0.88096,1.10406,0.000183855,0.000183855,0.000183855
77,260.906,0.70331,0.14906,0.06759,0.49446,0.91821,0.84307,0.7964,0.82534,0.63713,0.08473,0.07871,0.08372,0.077,0.9632,0.37994,0.06008,0.87477,1.09745,0.000176786,0.000176786,0.000176786
78,264.128,0.7174,0.14273,0.05138,0.49269,0.91876,0.85954,0.77802,0.8239,0.63417,0.08293,0.07677,0.082,0.07559,0.99295,0.37229,0.06189,0.88062,1.09933,0.000169718,0.000169718,0.000169718
79,267.332,0.69484,0.14854,0.06257,0.50066,0.91583,0.85771,0.78108,0.82977,0.63786,0.08172,0.07871,0.08315,0.07602,0.99513,0.35557,0.06191,0.88749,1.1007,0.000162649,0.000162649,0.000162649
80,270.538,0.71856,0.15542,0.0653,0.50998,0.93006,0.87172,0.76724,0.82895,0.64398,0.08112,0.07806,0.08304,0.07616,0.98309,0.35511,0.06043,0.88757,1.09457,0.000155581,0.000155581,0.000155581
81,273.78,0.65435,0.11465,0.04898,0.47783,0.90531,0.87392,0.77382,0.8227,0.64154,0.08052,0.08065,0.08439,0.07698,0.99014,0.34482,0.05986,0.89439,1.09807,0.000148512,0.000148512,0.000148512
82,276.867,0.69297,0.15673,0.05473,0.49521,0.92874,0.84325,0.79002,0.82352,0.64343,0.08416,0.0754,0.08448,0.07745,0.97563,0.33857,0.05977,0.89104,1.09273,0.000141443,0.000141443,0.000141443
83,279.934,0.63973,0.12731,0.05897,0.47226,0.9066,0.84543,0.77179,0.81849,0.63667,0.08445,0.07709,0.08426,0.07749,0.97579,0.33842,0.0616,0.8995,1.09106,0.000134375,0.000134375,0.000134375
84,283.159,0.66759,0.15073,0.06266,0.46359,0.92043,0.86333,0.76078,0.81949,0.63474,0.08251,0.0761,0.08436,0.07746,1.01537,0.34141,0.06021,0.89629,1.10574,0.000127306,0.000127306,0.000127306
85,286.295,0.67136,0.16263,0.06244,0.47659,0.91601,0.83334,0.78369,0.81535,0.63676,0.08333,0.07416,0.08456,0.07772,1.01452,0.34162,0.06131,0.88899,1.10488,0.000120238,0.000120238,0.000120238
86,289.381,0.64557,0.13762,0.05728,0.45475,0.90155,0.87176,0.76609,0.818,0.63867,0.07938,0.07677,0.08349,0.07693,1.0123,0.34639,0.06238,0.87692,1.10328,0.000113169,0.000113169,0.000113169
87,292.596,0.65258,0.15256,0.05602,0.45337,0.88986,0.88304,0.75126,0.81622,0.6368,0.07874,0.08,0.08391,0.07716,0.98953,0.33589,0.06468,0.88219,1.09549,0.0001061,0.0001061,0.0001061
88,295.726,0.62068,0.15803,0.05931,0.45581,0.90481,0.87295,0.74992,0.81733,0.63825,0.08093,0.07742,0.08356,0.07697,0.98334,0.33476,0.06739,0.891,1.09568,9.90318e-05,9.90318e-05,9.90318e-05
89,298.916,0.66311,0.14917,0.05909,0.46877,0.91056,0.86957,0.74794,0.81581,0.63641,0.07877,0.07742,0.08323,0.0766,0.98948,0.33409,0.06829,0.89431,1.10396,9.19632e-05,9.19632e-05,9.19632e-05
90,302.115,0.63984,0.17031,0.06095,0.44307,0.88451,0.84035,0.76812,0.81815,0.64258,0.08113,0.07489,0.08333,0.07733,0.98019,0.32931,0.0699,0.88816,1.09769,8.48946e-05,8.48946e-05,8.48946e-05
91,331.321,0.61019,0.09757,0.02135,0.43475,0.8964,0.83761,0.76644,0.8187,0.6421,0.07934,0.07679,0.08299,0.07715,0.97372,0.32855,0.06967,0.88695,1.09464,7.7826e-05,7.7826e-05,7.7826e-05
92,336.559,0.61661,0.10439,0.0213,0.4363,0.91323,0.83125,0.78091,0.81914,0.64989,0.08106,0.07548,0.08254,0.07664,0.96866,0.33061,0.07118,0.89189,1.09685,7.07574e-05,7.07574e-05,7.07574e-05
93,339.786,0.60667,0.10671,0.02154,0.43711,0.8901,0.82162,0.78428,0.81603,0.65376,0.08117,0.07509,0.082,0.07583,0.95779,0.33984,0.06944,0.91077,1.09417,6.36888e-05,6.36888e-05,6.36888e-05
94,343.068,0.59126,0.11479,0.01754,0.43166,0.87882,0.81304,0.78717,0.81113,0.65072,0.08094,0.07397,0.08129,0.07525,0.95547,0.33766,0.06805,0.91413,1.0938,5.66202e-05,5.66202e-05,5.66202e-05
95,346.135,0.5628,0.10875,0.01472,0.40473,0.8643,0.81288,0.7895,0.81341,0.65299,0.08057,0.0749,0.08104,0.07509,0.952,0.34199,0.06658,0.90711,1.09262,4.95516e-05,4.95516e-05,4.95516e-05
96,349.417,0.58676,0.09088,0.03072,0.41784,0.8918,0.83382,0.77556,0.81476,0.64971,0.0801,0.07533,0.08102,0.07512,0.94587,0.33847,0.06581,0.8917,1.09231,4.2483e-05,4.2483e-05,4.2483e-05
97,352.546,0.58054,0.10698,0.02211,0.41491,0.88554,0.83022,0.7794,0.81336,0.64495,0.07976,0.07677,0.08154,0.07574,0.94754,0.34113,0.06616,0.89289,1.09231,3.54144e-05,3.54144e-05,3.54144e-05
98,355.637,0.56988,0.07053,0.01839,0.41029,0.87386,0.83015,0.7891,0.81308,0.64458,0.08026,0.07605,0.08188,0.07597,0.94602,0.34239,0.0641,0.89588,1.0924,2.83458e-05,2.83458e-05,2.83458e-05
99,358.843,0.55786,0.10766,0.02544,0.41972,0.87728,0.83298,0.77827,0.80911,0.6403,0.08382,0.07355,0.08173,0.07564,0.94354,0.34034,0.06347,0.89818,1.09222,2.12772e-05,2.12772e-05,2.12772e-05
100,361.902,0.54131,0.1084,0.02007,0.4042,0.87788,0.8418,0.77357,0.80911,0.64117,0.08409,0.07484,0.08251,0.07648,0.94556,0.34528,0.0638,0.89741,1.0933,1.42086e-05,1.42086e-05,1.42086e-05
