epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,132.572,0.93034,0.27798,0.08183,0.7815,1.01867,0.84485,0.78431,0.8462,0.62116,0.08353,0.07306,0.08083,0.07478,1.11782,0.51438,0.06972,0.90986,1.10111,0.000530216,0.000530216,0.000530216
28,136.95,0.91953,0.28331,0.09391,0.73492,1.01835,0.79614,0.78283,0.81851,0.60699,0.0859,0.07557,0.07991,0.07502,1.04992,0.51782,0.07236,0.92387,1.10401,0.000523148,0.000523148,0.000523148
29,141.015,0.86479,0.23237,0.08603,0.71616,0.98766,0.8602,0.77796,0.84463,0.64213,0.07916,0.07295,0.07684,0.07111,1.03855,0.49396,0.06145,0.88989,1.08385,0.000516079,0.000516079,0.000516079
30,145.401,0.85285,0.19398,0.07853,0.65015,0.96554,0.8504,0.75345,0.82039,0.62422,0.08268,0.07063,0.07843,0.07316,1.05587,0.47354,0.05977,0.94953,1.07691,0.000509011,0.000509011,0.000509011
31,149.746,0.88484,0.20006,0.08123,0.68306,0.97409,0.83209,0.75626,0.80989,0.61001,0.08203,0.0696,0.07581,0.07224,1.04333,0.48353,0.06976,0.93512,1.07017,0.000501942,0.000501942,0.000501942
32,154.028,0.85383,0.17844,0.08394,0.6524,0.97616,0.76408,0.79845,0.8233,0.61948,0.08297,0.076,0.07955,0.07425,1.05951,0.49323,0.07647,0.92125,1.06745,0.000494873,0.000494873,0.000494873
33,158.345,0.90485,0.2308,0.07262,0.69261,0.99908,0.81601,0.76715,0.79433,0.5851,0.0849,0.07197,0.07632,0.07097,1.13894,0.5307,0.08245,1.01648,1.09534,0.000487805,0.000487805,0.000487805
34,162.591,0.82067,0.16518,0.07318,0.62328,0.95494,0.82946,0.77238,0.82282,0.62192,0.08479,0.0748,0.078,0.07308,1.02709,0.51203,0.08507,0.91175,1.06923,0.000480736,0.000480736,0.000480736
35,166.815,0.84988,0.22883,0.07394,0.64591,0.96988,0.81453,0.81212,0.84434,0.63785,0.08369,0.0748,0.08004,0.07505,1.04898,0.49036,0.08522,0.85047,1.0718,0.000473668,0.000473668,0.000473668
36,171.222,0.81766,0.17873,0.0648,0.66353,0.97025,0.81424,0.78457,0.82648,0.6367,0.08783,0.0716,0.08038,0.07501,1.0064,0.48778,0.08589,0.90341,1.0674,0.000466599,0.000466599,0.000466599
